RBD;c_COD_COM_RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
13448;4102;1;COLEGIO CRISTO REY;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13450;4101;3;COLEGIO ANDRES BELLO - PAMPA;4;3;0;-29.92361102;-71.25544307;0;0;751;1;1;1;;MAS DE $100.000;MAS DE $100.000
13451;4101;1;JARDIN INFANTIL JESUS DE NAZARET;3;2;0;-29.95040894;-71.26593018;0;0;3;1;1;2;;GRATUITO;GRATUITO
13453;4102;8;JARDIN INFANTIL MICHEY MOUSE;3;2;0;-29.97086303;-71.25900917;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13454;4101;6;ESC.ESPEC.DE TRASTORNO COMUNICACION LOS CEDRO;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13455;4201;4;ESCUELA ESPECIAL ILLAPEL;2;1;1;-31.601482;-71.104294;0;0;33;1;1;1;;GRATUITO;GRATUITO
13456;4101;2;COLEGIO SAINT GERMAIN;3;2;0;;;0;0;0;0;3;1;;GRATUITO;GRATUITO
13457;4301;0;JARDIN INFANTIL MI BEBITO;3;2;0;-30.5993557;-71.19661713;0;0;0;0;3;2;;GRATUITO;GRATUITO
13458;4102;9;JARDIN INFANTIL STA.TERESITA DE LOS ANDES;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13459;4102;7;JARDIN INFANTIL CAMPANITA;3;2;0;;;0;0;0;0;3;1;;GRATUITO;GRATUITO
13460;4102;0;JARDIN INFANTIL HAPPY HOUSE;3;2;0;-29.98469;-71.32902;0;0;0;0;3;2;;GRATUITO;GRATUITO
13461;4102;9;LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ;6;5;0;-30.26264;-71.493401;1;1;353;1;1;1;;GRATUITO;GRATUITO
